,Unnamed: 0,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
327,327,568100.0,Concert,Shut Up and Play the Hits,,Unrated,2012-07-18,108
328,328,53600.0,Documentary,Orgasm Inc.,,Unrated,2011-02-11,80
329,329,2174600.0,Musical,Jem and the Holograms,$5 million,PG,2015-10-23,118
330,330,373600.0,Drama,Maps to the Stars,,R,2015-02-27,111
331,331,8445600.0,Foreign / Action,Dhoom 3,,Unrated,2013-12-20,172
332,332,227500.0,Foreign,Haute Cuisine,,PG-13,2013-09-20,95
333,333,1568100.0,Foreign,Kon-Tiki,,PG-13,2013-04-26,101
334,334,12900.0,Comedy,Rid of Me,,Unrated,2011-11-18,90
335,335,284700.0,Foreign,White God,,R,2015-03-27,119
336,336,106900.0,Crime Thriller,The Chronicles of Evil,,Unrated,2015-05-15,102
337,337,12200.0,Action / Adventure,Falcon Rising,,R,2014-09-05,103
338,338,4200.0,Foreign,Three Worlds,,Unrated,2013-06-21,101
339,339,12300.0,Documentary,Wa-shoku: Beyond Sushi,,Unrated,2015-04-10,107
340,340,5100.0,Foreign,Breathing,,Unrated,2012-08-31,94
341,341,139000.0,Drama,La Sapienza,,Unrated,2015-03-20,100
342,342,14100.0,Romantic Comedy,The Trouble with Bliss,,PG-13,2012-03-23,97
343,343,220900.0,Horror Comedy,"Filth to Ashes, Flesh to Dust",,Unrated,2011-09-30,86
344,344,83368600.0,Action / Adventure,Maze Runner: The Scorch Trials,$61 million,PG-13,2015-09-18,131
345,345,12000.0,Foreign,The Woman with the Five Elephants,,Unrated,2011-07-20,0
346,346,665900.0,Foreign,Mary Kom,,Unrated,2014-09-05,122
347,347,54268600.0,Family Comedy,Muppets Most Wanted,$50 million,PG,2014-03-21,112
348,348,300900.0,Comedy,Go Away Mr. Tumor,,Unrated,2015-08-14,85
349,349,3390400.0,Foreign,Zindagi Na Milegi Dobara,,Unrated,2011-07-15,155
350,350,135500600.0,Sci-Fi Action,Prometheus,$130 million,R,2012-06-08,124
351,351,13931500.0,Horror,Silent House,,R,2012-03-09,85
352,352,268000.0,Foreign,Action Jackson,,Unrated,2014-12-05,144
353,353,29101600.0,Horror,Sinister 2,$10 million,R,2015-08-21,97
354,354,1029600.0,Foreign,Gett: The Trial of Viviane Amsalem,,Unrated,2015-02-13,115
355,355,1912800.0,Drama,Take Shelter,$5 million,R,2011-09-30,120
356,356,35300.0,Drama,White Bird in a Blizzard,,R,2014-10-24,91
357,357,4600.0,Animation,Back to the Jurassic,,Unrated,2015-06-12,86
358,358,27600.0,Romance,Waiting for Forever,$5 million,PG-13,2011-02-04,94
359,359,1845900.0,Horror Thriller,Stoker,$12 million,R,2013-03-01,0
360,360,900.0,Foreign / Horror,REC 4: Apocalypse,,R,2015-01-02,96
361,361,79800.0,Drama / Thriller,On the Ice,,R,2012-02-17,96
