,domestic total gross,genre,movie title,production_budget,rating,release date,runtime (mins)
276,25900.0,Drama,Standing Tall,N/A,R,2016-04-01 00:00:00,120
277,217600.0,Action Drama,Naam Hai Akira,N/A,Unrated,2016-09-02 00:00:00,139
278,5000.0,Fantasy Comedy,Welcome to Happiness,N/A,PG-13,2016-05-19 00:00:00,108
279,375000.0,Comedy / Drama,The Lobster,N/A,Unknown,2016-03-25 00:00:00,118
280,424500.0,Drama,Our Little Sister,N/A,PG,2016-07-08 00:00:00,128
281,7500.0,Drama,The President,N/A,Unrated,2016-06-03 00:00:00,119
282,9400.0,Documentary,The Lost Arcade,N/A,Unrated,2016-08-12 00:00:00,79
283,178800.0,Action Drama,The Wave,N/A,R,2016-03-04 00:00:00,104
284,1456800.0,Documentary,The Beatles: Eight Days a Week - The Touring Years,N/A,Unrated,2016-09-15 00:00:00,99
285,165100.0,Drama,The Fits,N/A,Unrated,2016-06-03 00:00:00,72
286,44100.0,Documentary,Dancer,N/A,Not Yet Rated,2016-09-09 00:00:00,85
287,20643200.0,Action Drama,Free State of Jones,$50 million,R,2016-06-24 00:00:00,139
288,40683200.0,Drama / Thriller,Money Monster,$27 million,R,2016-05-13 00:00:00,95
289,3100.0,Drama,In Harmony,N/A,Unrated,2016-04-15 00:00:00,87
290,23275900.0,Comedy,Whiskey Tango Foxtrot,$35 million,R,2016-03-04 00:00:00,112
291,31700.0,Drama,"Rio, I Love You",N/A,R,2016-04-15 00:00:00,112
292,39400.0,Drama / Thriller,Disorder,N/A,Unrated,2016-08-12 00:00:00,98
293,495200.0,Animation,The Boy and the Beast,N/A,PG-13,2016-03-04 00:00:00,119
294,9420000.0,Comedy,Popstar: Never Stop Never Stopping,N/A,R,2016-06-03 00:00:00,86
295,64553700.0,Thriller,Now You See Me 2,N/A,PG-13,2016-06-10 00:00:00,129
296,300.0,Horror,Satanic,N/A,R,2016-07-01 00:00:00,85
297,63014500.0,Action,London Has Fallen,$60 million,R,2016-03-04 00:00:00,99
298,78408600.0,Thriller,The Purge: Election Year,$10 million,R,2016-07-01 00:00:00,105
299,3324400.0,Comedy,Maggie's Plan,N/A,R,2016-05-20 00:00:00,92
300,42229100.0,Comedy / Drama,War Dogs,N/A,R,2016-08-19 00:00:00,114
